experiment id: 0, method: ndea, base_learner: Decision Tree task: 7, fold: 0, accuracy: 0.8260869565217391, train_accuracy: 0.8253968253968255, ensemble_size: 10, duration: 65.5629518032074, other_results = []
experiment id: 1, method: ndea, base_learner: Decision Stump task: 7, fold: 0, accuracy: 0.6956521739130435, train_accuracy: 0.7301587301587302, ensemble_size: 10, duration: 69.53700590133667, other_results = []
experiment id: 2, method: ndea, base_learner: Decision Tree task: 7, fold: 1, accuracy: 0.8260869565217391, train_accuracy: 0.873015873015873, ensemble_size: 10, duration: 61.54114079475403, other_results = []
experiment id: 3, method: ndea, base_learner: Decision Stump task: 7, fold: 1, accuracy: 0.782608695652174, train_accuracy: 0.7777777777777777, ensemble_size: 10, duration: 60.12012767791748, other_results = []
experiment id: 4, method: ndea, base_learner: Decision Tree task: 7, fold: 2, accuracy: 0.7391304347826086, train_accuracy: 0.873015873015873, ensemble_size: 10, duration: 58.35782313346863, other_results = []
experiment id: 5, method: ndea, base_learner: Decision Stump task: 7, fold: 2, accuracy: 0.6956521739130435, train_accuracy: 0.746031746031746, ensemble_size: 10, duration: 57.68903136253357, other_results = []
experiment id: 6, method: ndea, base_learner: Decision Tree task: 7, fold: 3, accuracy: 0.043478260869565216, train_accuracy: 0.8253968253968255, ensemble_size: 10, duration: 65.12317991256714, other_results = []
experiment id: 7, method: ndea, base_learner: Decision Stump task: 7, fold: 3, accuracy: 0.043478260869565216, train_accuracy: 0.7142857142857143, ensemble_size: 10, duration: 63.837621212005615, other_results = []
experiment id: 8, method: ndea, base_learner: Decision Tree task: 7, fold: 4, accuracy: 0.34782608695652173, train_accuracy: 0.8253968253968255, ensemble_size: 10, duration: 58.10263466835022, other_results = []
experiment id: 9, method: ndea, base_learner: Decision Stump task: 7, fold: 4, accuracy: 0.2608695652173913, train_accuracy: 0.7301587301587302, ensemble_size: 10, duration: 56.653069734573364, other_results = []
experiment id: 10, method: ndea, base_learner: Decision Tree task: 7, fold: 5, accuracy: 0.7391304347826086, train_accuracy: 0.8412698412698413, ensemble_size: 10, duration: 57.960089683532715, other_results = []
experiment id: 11, method: ndea, base_learner: Decision Stump task: 7, fold: 5, accuracy: 0.5652173913043478, train_accuracy: 0.7142857142857143, ensemble_size: 10, duration: 57.409343957901, other_results = []
experiment id: 12, method: ndea, base_learner: Decision Tree task: 7, fold: 6, accuracy: 0.8181818181818182, train_accuracy: 0.7936507936507936, ensemble_size: 10, duration: 61.75094938278198, other_results = []
experiment id: 13, method: ndea, base_learner: Decision Stump task: 7, fold: 6, accuracy: 0.6363636363636364, train_accuracy: 0.6349206349206349, ensemble_size: 10, duration: 59.67669367790222, other_results = []
experiment id: 14, method: ndea, base_learner: Decision Tree task: 7, fold: 7, accuracy: 0.9090909090909091, train_accuracy: 0.8571428571428571, ensemble_size: 10, duration: 59.85456323623657, other_results = []
experiment id: 15, method: ndea, base_learner: Decision Stump task: 7, fold: 7, accuracy: 0.6363636363636364, train_accuracy: 0.6349206349206349, ensemble_size: 10, duration: 59.88679337501526, other_results = []
experiment id: 16, method: ndea, base_learner: Decision Tree task: 7, fold: 8, accuracy: 0.9545454545454546, train_accuracy: 0.8095238095238094, ensemble_size: 10, duration: 60.847392320632935, other_results = []
experiment id: 17, method: ndea, base_learner: Decision Stump task: 7, fold: 8, accuracy: 0.6363636363636364, train_accuracy: 0.6507936507936507, ensemble_size: 10, duration: 6279.2288019657135, other_results = []
experiment id: 18, method: ndea, base_learner: Decision Tree task: 7, fold: 9, accuracy: 0.045454545454545456, train_accuracy: 0.7936507936507936, ensemble_size: 10, duration: 103.74225354194641, other_results = []
experiment id: 19, method: ndea, base_learner: Decision Stump task: 7, fold: 9, accuracy: 0.09090909090909091, train_accuracy: 0.6825396825396824, ensemble_size: 10, duration: 104.98007798194885, other_results = []
experiment id: 20, method: ndea, base_learner: Decision Tree task: 9, fold: 0, accuracy: 0.9047619047619048, train_accuracy: 0.8596491228070176, ensemble_size: 10, duration: 22.776732444763184, other_results = []
experiment id: 21, method: ndea, base_learner: Decision Stump task: 9, fold: 0, accuracy: 0.7142857142857143, train_accuracy: 0.5789473684210527, ensemble_size: 10, duration: 13.811556577682495, other_results = []
experiment id: 22, method: ndea, base_learner: Decision Tree task: 9, fold: 1, accuracy: 0.8095238095238095, train_accuracy: 0.8947368421052632, ensemble_size: 10, duration: 19.367337703704834, other_results = []
experiment id: 23, method: ndea, base_learner: Decision Stump task: 9, fold: 1, accuracy: 0.6190476190476191, train_accuracy: 0.6666666666666666, ensemble_size: 10, duration: 20.44999074935913, other_results = []
experiment id: 24, method: ndea, base_learner: Decision Tree task: 9, fold: 2, accuracy: 0.9047619047619048, train_accuracy: 0.8947368421052632, ensemble_size: 10, duration: 19.65567374229431, other_results = []
experiment id: 25, method: ndea, base_learner: Decision Stump task: 9, fold: 2, accuracy: 0.5714285714285714, train_accuracy: 0.6666666666666666, ensemble_size: 10, duration: 15.100170373916626, other_results = []
experiment id: 26, method: ndea, base_learner: Decision Tree task: 9, fold: 3, accuracy: 0.8095238095238095, train_accuracy: 0.8070175438596491, ensemble_size: 10, duration: 18.352360725402832, other_results = []
experiment id: 27, method: ndea, base_learner: Decision Stump task: 9, fold: 3, accuracy: 0.6666666666666666, train_accuracy: 0.6842105263157895, ensemble_size: 10, duration: 16.72425866127014, other_results = []
experiment id: 28, method: ndea, base_learner: Decision Tree task: 9, fold: 4, accuracy: 0.8571428571428571, train_accuracy: 0.8596491228070176, ensemble_size: 10, duration: 18.05829429626465, other_results = []
experiment id: 31, method: ndea, base_learner: Decision Stump task: 9, fold: 5, accuracy: 0.6, train_accuracy: 0.6491228070175438, ensemble_size: 10, duration: 46.760892152786255, other_results = []
experiment id: 32, method: ndea, base_learner: Decision Tree task: 9, fold: 6, accuracy: 0.8, train_accuracy: 0.8596491228070176, ensemble_size: 10, duration: 32.71599531173706, other_results = []
experiment id: 33, method: ndea, base_learner: Decision Stump task: 9, fold: 6, accuracy: 0.55, train_accuracy: 0.5614035087719298, ensemble_size: 10, duration: 16.20216131210327, other_results = []
experiment id: 34, method: ndea, base_learner: Decision Tree task: 9, fold: 7, accuracy: 0.85, train_accuracy: 0.8771929824561404, ensemble_size: 10, duration: 30.476996898651123, other_results = []
experiment id: 35, method: ndea, base_learner: Decision Stump task: 9, fold: 7, accuracy: 0.7, train_accuracy: 0.6491228070175438, ensemble_size: 10, duration: 56.2949435710907, other_results = []
experiment id: 36, method: ndea, base_learner: Decision Tree task: 9, fold: 8, accuracy: 0.85, train_accuracy: 0.8245614035087719, ensemble_size: 10, duration: 62.762938022613525, other_results = []
experiment id: 37, method: ndea, base_learner: Decision Stump task: 9, fold: 8, accuracy: 0.6, train_accuracy: 0.543859649122807, ensemble_size: 10, duration: 52.81247115135193, other_results = []
experiment id: 38, method: ndea, base_learner: Decision Tree task: 9, fold: 9, accuracy: 0.85, train_accuracy: 0.8771929824561404, ensemble_size: 10, duration: 51.57795858383179, other_results = []
experiment id: 39, method: ndea, base_learner: Decision Stump task: 9, fold: 9, accuracy: 0.55, train_accuracy: 0.6140350877192983, ensemble_size: 10, duration: 18.253231525421143, other_results = []
experiment id: 40, method: ndea, base_learner: Decision Tree task: 40, fold: 0, accuracy: 0.7272727272727273, train_accuracy: 0.7333333333333334, ensemble_size: 10, duration: 22.729630947113037, other_results = []
experiment id: 41, method: ndea, base_learner: Decision Stump task: 40, fold: 0, accuracy: 0.5454545454545454, train_accuracy: 0.65, ensemble_size: 10, duration: 18.201189041137695, other_results = []
experiment id: 42, method: ndea, base_learner: Decision Tree task: 40, fold: 1, accuracy: 0.6818181818181818, train_accuracy: 0.75, ensemble_size: 10, duration: 20.985482454299927, other_results = []
experiment id: 43, method: ndea, base_learner: Decision Stump task: 40, fold: 1, accuracy: 0.5454545454545454, train_accuracy: 0.6333333333333334, ensemble_size: 10, duration: 18.98990774154663, other_results = []
experiment id: 44, method: ndea, base_learner: Decision Tree task: 40, fold: 2, accuracy: 0.7272727272727273, train_accuracy: 0.7333333333333334, ensemble_size: 10, duration: 37.57029175758362, other_results = []
experiment id: 45, method: ndea, base_learner: Decision Stump task: 40, fold: 2, accuracy: 0.6818181818181818, train_accuracy: 0.7000000000000001, ensemble_size: 10, duration: 18.897539854049683, other_results = []
